N,comment,Year,hour_z_time,an,Language
74,Goodbye Traitor! Good riddance!,2022-10-13,17,P,en
75,Hey kennste schon den g ddr speicher von nvidia,2022-10-13,13,O,de
76,Larry Sinclair: Obama’s ex-boyfriend — true story.,2022-10-13,10,P,en
77,I miss this man. Truly the last great president.,2022-10-13,02,P,en
78,Very nice sir😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,2022-10-12,16,P,en
79,BEST PRESIDENT EVA!!!! ❤️,2022-10-12,03,P,pt
80,To bad he didn&#39;t stay gone...he is so racist.,2022-10-12,00,N,en
81,"Ah a simpler time so full of promise and hope, shame we nosedived into straight up insanity instead",2022-10-11,06,P,en
82,All the sycophant &#39;darlings&#39; on the left believing this clown is just so &#39;suave and &#39;smooth&#39; and was an &#39;awesome president.  He is a Traitor and sold the US out.  Should be brought up on Charges....,2022-10-11,03,O,en
83,What a waste of 8 years with this president that screwed everything he touched and still is through his puppet jb. But! His corruption will be exposed with all the cabal . Hes an arrogant    useless racist prejudice that Used his position to sell USA out to enrich himself. Signed MAGGA. Make America&#39;s Government Great Again. Once and FOR ALL for Jesus Christ Thee Lord and Savior of mankind. Amen.,2022-10-11,02,P,en
84,the beast was captured,2022-10-10,09,O,en
85,I miss him and i`m not even American .,2022-10-10,02,O,en
86,Yes you as well the last show got her pumped was that necessary after the legacy you had with them and led to that lie on social media for money some people thinks it&#39;s true and that makes her mad Jesus said,2022-10-10,00,N,en
87,As Chinese i just miss this man for no reason.,2022-10-09,07,O,en
88,BEST PRESIDENT EVER👍👍👍,2022-10-09,04,P,pt
89,"No matter how many times I watch this, or any late night talk show with President Obama, I still get goosebumps.  WE L❤VE YOU Mr. President! 10/08/22",2022-10-09,01,P,en
90,Can still Smell it like it never left.,2022-10-08,01,O,no
91,What a CLOWN and embarrassment,2022-10-07,17,O,en
92,"so, how come, how come we need a new spirit of sacrifice in america?",2022-10-06,11,P,en
93,👹👹👹👹👹👹👹,2022-10-06,08,O,en
94,"This guy was/is the best. The very best the United States has to offer. Just finishing his book, &quot;A Promised Land&quot; and its just awesome. Thanks Obama.",2022-10-06,05,P,en
95,"Traitor, criminal, makes me puke",2022-10-06,04,N,et
96,Biggest traitor in USA history,2022-10-06,02,O,en
97,"Gawd, I miss this guy.",2022-10-06,02,O,en
98,Who am I to respond,2022-10-05,12,O,pt
99,You were the only president i actually voted for because God was not on the ballad,2022-10-05,09,O,en
100,"Look u say we can&#39;t be violent but they are to us. We protest, sign petitions and it doesn&#39;t do any good. How do we stop them. Voting them out might work if they haven&#39;t git the system rigged. Well how can we stop them then?????? Tell us, nothing has worked. They ignor everything we have done. Texting, writing letters to our seniors do nothing. Well I say enough, it&#39;s time for action and no more peaceful actions.",2022-10-05,02,N,en
101,i love obama,2022-10-04,19,P,hr
102,My farther,2022-10-03,21,O,en
103,"No one is above the law, unless of course your name happens to be Barack Obama or Hillary Clinton.",2022-10-03,01,O,en
104,The worse,2022-10-02,11,N,en
105,Always felt like he wanted to be a celebrity more than a President.  Turns out he got what he wanted.,2022-10-01,20,P,en
106,The Country is STILL reeling from the damage he&#39;s done. And this Magoo currently in office is adding salt to the wound. Obama was one of the worst things that has ever happened and is still happening to this Country.,2022-10-01,12,N,en
107,The underlying stabs the red wedding,2022-10-01,09,O,en
108,Obama and Biden worst president ever,2022-09-30,19,N,en
109,"💗❤❤💞This Gospel message if you continue to believe this message, you will be saved: For I delivered to you as of first importance what I also received: that Christ died for our sins in accordance with the Scriptures,  that he was buried, that he was raised on the third day in accordance with the Scriptures, and that he appeared to Cephas, then to the twelve.  Then he appeared to more than five hundred brothers at one time,",2022-09-30,16,P,en
110,“Who she will be”<br><br>Doh!  Wasn’t her 😜,2022-09-29,21,O,en
111,The worst president ever,2022-09-29,11,N,en
112,Was this comedy skit written by Philip Rosenthal...... The writer from &quot;Everybody Loves Raymond&quot;........?,2022-09-28,23,O,en
113,IN ALL MY YEARS OF LIFE I NEVER THOUGHT THAT I WOULD SEE THE DAY WHEN THE AMERICAN PEOPLE WOULD (VOTE THIS (TRAITOROUS 🤡) INTO OFFICE 🤔<br>SUCH A DISGRACE TO OUR COUNTRY WITH ALL HIS FILTHY LIES.....AND I GOT TO GIVE IT TO YOU ABOUT HIM BEING A ($TAND UP COMIC) WOULD HAVE BEEN A MUCH BETTER CHOICE RATHER THAN [BECOMING PRESIDENT)!!! HE WAS THE WORST COMING IN SECOND TO BUSH! AND THEN BIDEN!!! F**KING IDIOT&#39;S!!! 👿🤬😠 YOU PEOPLE WHO CONTINUE TO THINK HE&#39;S ALL THAT 🤔YOUR JUST AS STUPID AS HE IS!!!,2022-09-28,13,N,en
114,The US is bereft without Barack!  The next guy was a total disaster.  Great speech Barack.  👍🇨🇦🇨🇦🥂,2022-09-26,20,P,en
115,I wonder who does Bernie&#39;s hair???,2022-09-26,20,O,en
116,He&#39;s real upset he couldn&#39;t become dictator.,2022-09-25,22,P,en
117,He  was The Best,2022-09-25,07,P,en
118,Tanks…,2022-09-25,05,O,et
119,What a joke of a president what is this man actually do for the people <br>Nothing. But plenty for his rich friends and the banks,2022-09-24,19,P,en
120,Last time USA was United,2022-09-24,10,O,en
121,"Every word that comes out of his mouth, Trump, is always hateful! How could he face God,  including all the other <br>dictators? I&#39;m sure they&#39;ll try to tempt him! Like Putin, &quot;I will give you all my money, including the nuclear weapons&quot;,<br>I think Trump was going to be a translator. But, Lord said I understand every language! You will be next!! Just ask for forgiveness!  It&#39;s not too late!!",2022-09-24,10,P,en
122,"Obama you&#39;re one big dynamite! Yet a balance between two opposite forces, ideologies, and a gorgeous pride of all Nations, all Ethnities, all Religions, and all Civilization. Never mind, the hair on you is the white man in you. You&#39;re black enough enough, white enough, enough blend to inherit the most popular human on Earth &amp; in Heaven---Messenger of Allah PBH, if you were Muslim. I&#39;ll love to see you become a formidable Muslim in the nearest future so as to be any close to the Noble Prophet (SAWS).",2022-09-24,08,P,en
123,👏👏👏👏👏👏👏👏👏👏👏👏,2022-09-24,04,O,en
124,Wow brilliant speech ever by outgoing leader in world history.Job  H.E Barack Obama,2022-09-24,02,P,en
125,can&#39;t see the new guys doin&#39; this,2022-09-23,22,P,en
126,👑🌍🚀✊🏽❤💙🙏🏽🎖🇺🇲🇬🇧,2022-09-23,15,O,en
127,I have never seen Pres.Obama angry.,2022-09-23,10,N,en
128,Funny.,2022-09-23,10,P,cy
129,Black man&#39;s born with charm,2022-09-21,22,N,en
130,Do you know Trump did more for black people than Obama did,2022-09-21,16,P,en
131,What a corrupt man the only good thing they could do is talk very smooth but he is corrupt a lot,2022-09-21,16,P,en
132,2022 watching? Don&#39;t waste your time. This 100% not for gods people!<br> ✝️🇺🇸🎺🇺🇸🎺✝️,2022-09-21,07,N,en
133,"<a href=""https://www.youtube.com/watch?v=NxFkEj7KPC0&amp;t=14m37s"">14:37</a>, Mike is like that&#39;s Right MFker lol.",2022-09-21,00,P,en
134,💖💖💖,2022-09-20,21,O,en
135,Berry dangerous but must always sweet and romantic,2022-09-20,21,N,en
136,Must be happy and fun always,2022-09-20,21,P,en
137,🙏🙏🙏🙏🙏😇😇😇❤️❤️❤️💋💋,2022-09-20,21,O,en
138,He&#39;s everything in one.,2022-09-20,20,O,en
139,He was an awesome President and he is fuuuunnnnyyyyyy 🤣🤣🤣🤣🤣🤣,2022-09-19,04,P,en
140,"HYPOCRITES LYING JUVILNILES DEMOCRAPS 🤡. ARE FAMILY WAS DEMOCRAPS 🤡 UNTIL 2 YEARS. FJB ,FNP, FTHEM ALL. EVIL DEMOCRAPS 🤡",2022-09-19,00,N,de
141,What a great man,2022-09-18,20,P,en
142,Im a Reagan Rebub and I will admit that I would much rather have Mr Obama or Mr Clinton as POTUS than the abomination that was Trump and IS Biden.,2022-09-18,18,P,en
143,Last is great for you,2022-09-18,11,P,en
144,Still. the best years of my life.,2022-09-18,03,P,en
145,وصل الجواب بيت,2022-09-18,03,O,ar
146,جيد خوش جواب المدير,2022-09-18,03,P,ar
147,يامكثر النفط وال كاز,2022-09-18,03,P,ar
148,يفرح انا اجوب انتم من يفرح من ضيع أموالكم واموال الشعب الامريكي,2022-09-18,03,N,ar
149,مش مش مشط العدد حم اس,2022-09-18,03,O,ar
150,بايدن جيد,2022-09-18,03,P,fa
151,كلام,2022-09-18,03,O,ar
152,نوا جبد,2022-09-18,03,O,ur
153,عندك راتب لوا خوما كطعو الرتل,2022-09-18,03,O,ar
154,هسه كم الساعه عدم السادسه وعشر دقايق ص انتضر الجواب شعيب,2022-09-18,03,O,ar
155,مالكم,2022-09-18,03,O,ar
156,تورنا جيد,2022-09-18,03,P,ur
157,خوما نازل الدولار انصعدوا,2022-09-18,03,N,ar
158,انا عراقي,2022-09-18,03,O,ar
159,الي بعدك موا شي يعني نوعن ما زعلانين احنا عراقيين,2022-09-18,03,N,ar
160,الريس الأمريكي الاستاذ أوباما المحترم,2022-09-18,03,O,ar
161,تدريب كمن مغاوير الأول جيسي درجه اولا,2022-09-18,03,P,ar
162,مشرب سكار لف كومر البودي مام ضب جيد كابر صناعه ماي عرفو ايسوكون بل سيارات الكويتيين وبل اخص جابر لاخوالي,2022-09-18,02,P,ar
163,احبتنا,2022-09-18,02,P,ar
164,هاي لايت درجه اولا,2022-09-18,02,P,fa
165,فاي سوري,2022-09-18,02,O,fa
166,ال ايم,2022-09-18,02,O,ur
167,Guy could do stand up.  Better than Reagan.,2022-09-16,12,P,en
168,So many jokes that had so much meaning in hindsight (his foresight).,2022-09-15,05,P,en
169,"Here&#39;s a man who personifies and admires the idea that America is a land of immigrants. And why not, his rise to power and his origins are not African-American in the sense that 65 or 70 million of black Americans are descendants of American slaves. He is not representative of that population.",2022-09-14,12,N,en
170,"Sometimes, just coming back to hear President Obama speak to us-to me-again is the calming comfort I need to keep hope alive.",2022-09-12,07,P,en
171,Look it’s another big fat liar and another person that screwed up the whole country,2022-09-12,02,P,en
172,sera que el fue mi presidete hoBamam muy buenpresidete delos estados unidos dedonde yoMsEnrquetapanalez deTEXAS🇺🇸♥️🙏🏿😷antes de Donal trump quenos presento muy buenos 4alllos de nuestranasion laPAZ entoda lanasion es asinosadegado muy buenos RECONOSIDO después de presidete HoBAMA presete Botantes DehO BAMA  sigo YBOTEPOR. DONALTRUMPt. TANVIEN  amUVONITOSRECuERDOS  TUVIMOS 4aLLoS4 DE. PA.ZTRUMP- ✌🏿 4?!,2022-09-11,20,P,es
173,no there laughing at him,2022-09-11,18,O,en
174,"ALLEGEDLY: &quot;THERE THEY WERE, THE DESPOTIC WORLDWIDE VILLAINS REGIMES PREMEDITATING GROWING, IN THE UNITED STATES, IN THE 1950s,,,,,,SLASH SLASH SLASH RAPE RAPE RAPE, THE DESPOTIC WORLDWIDE VILLAINS REGIMES VOLITIONED LOUIS CHRISTOPHER KALAVRITINOS, ILLEGAL IMMIGRANT, AT JUMP SHIP POINT, NEAR THE TURN, OF THE 1920s......MY UNITED STATES CENTRAL INTELLIGENCE AGENT WENT DOWN, SLASHED, TO BECOME ABDUCTED, UNDER: &quot;CONNECTICUTT&amp; NEWARK&quot;: STREETS, N. W. WASHINGTON DISTRICT OF COLUMBIA, UNITED STATES......THE REST IS IMPLIED ACADEMICS, THE DESPOTIC WORLDWIDE VILLAINS REGIMES, SET IN MOTION RULING THE UNITED STATES DEPARTMENT OF EDUCATION: &quot;THE COLLEGES; SCHOOLS; UNIVERSITIES&quot;, (I)RON(I)&quot;C&quot;, ACROSS THE UNITED STATES, ESPECIALLY, THE UNITED STATES GOVERNMENT EMPLOYEES, SOON, TO BE DEFUNCT, AS VOLITIONIST(S)......HOW: &quot;COULD; SHOULD; WOULD&quot; THE UNITED STATES TEACHERS BASES SURVIVE?????? THE UNITED STATES TEACHERS BASES: &quot;COULD; SHOULD; WOULD&quot; NOT SURVIVE, ESPECIALLY, UNDER TRUANCY LAWS: &quot;FORCED ATTENDANCES, IN: &quot;SCHOOLS&quot;, &quot;MANIFEST VOLITIONING&quot;. THE UNITED STATES TEACHERS BASES WERE GOING, TO &quot;JAILS&quot;, AS INMATES, TO BECOME THE FLESHPRODUCTS...... WHAT SAVED THE FUTURE UNITED STATES TEACHERS BASES WERE UNJUST ACTS, OF THE DESPOTIC WORLD-WIDE VILLAINS REGIMES: &quot;FRATERNICIDES; GENOCIDES; INFANTCIDES; OVERLAYINGS; OVERRUNNINGS; OVERTAKINGS&quot;, OF THE UNITED STATES OLD WORLD CITIZENSHIPS!!!!!!&quot;",2022-09-11,15,N,en
175,"<a href=""https://www.youtube.com/watch?v=NxFkEj7KPC0&amp;t=23m30s"">23:30</a><br>&quot;Traditionally, Presidents don&#39;t stick around after they&#39;re done.&quot;<br><br>Thanks, Obama! You opened one hell of a doorway.",2022-09-10,05,O,en
176,"<a href=""https://www.youtube.com/watch?v=NxFkEj7KPC0&amp;t=8m24s"">8:24</a> you can hear a camera go off when he does this",2022-09-10,02,O,en
177,Miss Obama ... why can&#39;t we just have him again as president ...,2022-09-09,22,O,en
178,the beast?,2022-09-09,18,O,en
179,"The end of the republic never looked better Obama said, and a jab at white people? Oh how well of a speaker is he, and check into golden what?",2022-09-09,11,P,en
180,I still can&#39;t believe we went from Smart man like Obama To Trump.,2022-09-09,08,P,en
181,"El que entró más pobre a la presidencia y salió millonario ,😂😂😂😂😂demostrado , los que le van a pasar la cuenta serán sus propios hermanos de raza",2022-09-08,18,P,es
182,I miss the Obamas so much. I love the respect they have for each other and President Obama’s perpetual optimism despite Trump’s inability to recognize real humor.,2022-09-07,19,P,en
183,"great delivery and dwell. Wonder how much of this he wrote, even the camera shots seemed to be pre planned,",2022-09-06,23,P,en
184,I love and adore this man!!!!,2022-09-06,21,P,en
185,POS WORST PRESIDENT EVER! AND SOON THE WORLD WILL ALL KNOW ABOUT HIS CRIMES AND CRIMES AGAINST HUMANITY..,2022-09-06,19,N,en
186,Obama is a Muslim!,2022-09-06,11,O,hr
187,Ya ya ya and playing favorites by allowing the murder hacker to stalk and incest his sister’s cell phone makes you Chester the molester. 🤮,2022-09-06,07,O,en
188,Does this a*<b>***</b> realize that he is half white because of his mom he&#39;s a Irish White man and half black !!!! So he could put down all the white people and not acknowledge his DNA which is telling everybody in the world who is mixed not to acknowledge one side over the other because of popularity or disgrace or whatever it is that ails them at the time whatever suits them at the time of their indiscretions.,2022-09-05,17,N,en
189,"I know I&#39;ve watched this before and probably commented then too. Dave Chappell is lucky this dude found something to do after this gig. What attitude and cold blooded delivery. KILLZ  Just straight-up fire. Then, that bit at the end with John Boehner tempting him with &quot;cigarettes&quot;? We ALL know how he&#39;s making his money these days, and it ain&#39;t tobacco. That&#39;s a product that would get bipartisan support! John &amp; Barry&#39;s Berry-flavored Gummies. Colored Red &amp; Blue - raspberry and blueberry edibles made from the choicest kine bud Kona and Kenyan bush kush. Yeah, you&#39;re gonna want those aviators....",2022-09-05,17,N,en
190,"A joke joking, and the sheep tenderly giggle in admiration.",2022-09-05,05,O,en
191,"AMERICA? Americans???? You know that<br>&quot;America&quot; is a continent, with 35 nations<br>including the UNITED STATES?<br>Canada, Brazil, Argentina, Cuba etc, etc are also AMERICA! Yes, the people of Peru or any of the 35 countries ARE also AMERICANS!!!!",2022-09-05,01,O,en
192,How is it there&#39;s still so many stupid Americans that would follow Obama as he&#39;s already proven how racist he is especially against his own black people! Do you Americans not follow anything these damn politicians are doing? Follow this clown&#39;s career and look at all he has taken from the poor black men in America he&#39;s literally put out 10 different ways of forcing you people to stay poor he did this! And yet you people are still stupid enough to go and listen to him speak what&#39;s the matter with you freaking people don&#39;t you have enough problems thanks to Biden you need to add to your problems by going to this clown!,2022-09-05,00,N,en
193,"He’s very cocky, conceited, carelessly overconfident over his white guilt expectations! As Gods people we white peoples crawl before no one",2022-09-04,21,N,en
194,More charisma and charm in his little finger than Trump has in his entire bloated body!,2022-09-04,15,P,en
195,"Listening to this speech again today. Wow,  how far backwards the country has gone under Trump and his Magats (maggots??)  where even do called news channels have lost impartiality and it seems,do not have any morality or journalistic ethics,much like their Commander in Lies. The USA has become a Third World democracy under Trump.",2022-09-04,11,P,en
196,Obumer sucks presidential and literary,2022-09-04,09,N,en
197,😀😀😀 I&#39;ve just loved the way he compared slogan of Hillary &amp; of senator sandars.,2022-09-04,04,P,en
198,He is still the most loved president in the world &amp;  in America.,2022-09-04,03,P,en
199,Love this man!!💙,2022-09-02,16,P,en
200,The biggest threat to FREEDOM IN THIS UNITED STATES OF AMERICA!!! A REAL P.O.S!!!! LIAR LIAR LIAR!!!  GOD BLESS AMERICA!!!,2022-09-02,05,P,en
201,Hes such a phoney. Yuk,2022-09-01,23,O,en
202,He is so charismatic and clever.  He could totally have a career in stand up.  ❤,2022-09-01,23,P,en
203,"Everyone saying &quot;I miss Obama&quot; but ignoring the hate and disgusting Republican racism towards him when he was president. Shame that America believed all the negative about him, disgusting people.",2022-09-01,19,N,en
204,สวัสดีคะคุณโอบรามาและคุณมิตรเชวไม่เห็นคุณทั้งสองลงโปรแกมเลยนะคะดิฉันคิดถึงคุณทั้งสองนะคะฟีด,2022-09-01,09,O,th
205,"The Antichrist will be just like this man well like able very charming, intelligent, and full of charisma the man of sin will seduce the entire world. As a black man myself this guy is highly intelligent but has the spirit of an Antichrist he is very cleaver but also very dangerous i honestly believe he is still running things from behind the scene with this new Administration. People are easily deceived and fooled they can’t see pass his intelligence, charm, and charisma.",2022-09-01,01,P,en
206,"<a href=""https://www.youtube.com/watch?v=NxFkEj7KPC0&amp;t=32m27s"">32:27</a> Obama out",2022-08-31,08,O,en
207,I miss him so much,2022-08-31,03,P,en
208,Crickets sound better than this. Sawadee Khap 🤠,2022-08-30,16,P,en
209,What time is it in Chiang Rai?,2022-08-30,16,O,en
210,What time is it in Florida Or Washington?,2022-08-30,16,O,en
211,Oh please -,2022-08-30,11,O,en
212,Damn lmao,2022-08-30,09,P,sv
213,"Barack Obama is the most qualified, intelligent, diplomatic, responsible an intellectual humane US PRESIDENT ever an I&#39;m saying #1 President ever. If he had bipartisan support an Repubs in Senate do ANYTHING his terms would&#39;ve been even more fruitful. DJT walked into a great economy created by Obama an DJT BROADCAST &quot;OH LOOK WHAT I&#39;VE DONE FOR YOU&quot; AN IT IS OBAMA&#39;S CREATION. OBAMA ALSO HAD THE COVID VACCINE ALREADY MADE AN ON THE SHELF ON HOLD TIL THE NEXT PANDEMIC, DJT TOOK CREDIT FOR THE VACCINE BEING INVENTED! I&#39;D LOVE TO HAVE BARACK BACK AS PRESIDENT ONCE MORE! I LOVE YOU BARACK FROM MY HEART! YOU DO IT RIGHT OUR BROTHER AN MADE ME A PROUD AMERICAN!👍✌️💓🇺🇲🕊️",2022-08-30,04,P,en
214,I could watch this over and over. I miss Obama and our country before trump.,2022-08-29,23,O,en
215,I love him,2022-08-29,23,P,sl
216,this guy can&#39;t get enough of attention ..Go away and stay away  .take your hewife with you .,2022-08-29,22,O,en
217,Love the photo joke.,2022-08-29,20,P,en
218,He’s leaving with all kinds of jokes.   I am just seeing this video in 2022.,2022-08-29,20,O,en
219,Jokes that white people should not make.   Do you get it?    Okay 👍.   His last remarks to all Americans.  Okay 👍,2022-08-29,20,P,en
220,America felt powerful in this man&#39;s regime,2022-08-29,18,P,en
221,Build consensus!,2022-08-29,17,O,fr
222,Let’s harken back! The absolute best President in my lifetime: The Audacity If Hope.,2022-08-29,17,P,en
223,We love you both,2022-08-29,14,P,en
224,This is the Best president ever please  come ba dack,2022-08-29,14,P,en
225,The best. Ever,2022-08-29,14,P,en
226,The best president ever.,2022-08-29,14,P,en
227,Didn&#39;t age well did it lol,2022-08-29,02,P,af
228,As a white man I&#39;ll say whatever the hell I want. Go get sucked off by another dude Barack.,2022-08-28,23,O,en
229,God I love and miss this Man 💗,2022-08-28,23,P,en
230,This man should be in prison for treason to America,2022-08-28,08,O,en
231,This phoney is sickening.<br>🤮🤮🤮🤑🤑🤑🤑🤮🤮🤮🤑🤑🤑🤑🤮🤮🤮🤮🤮🤑🤑🤑🤑<br>🤮🤮🤮🤮🤑🤮🤮🤑🤑. Dirty dog sell out,2022-08-28,07,N,en
232,Obama&#39;s  forever  and  ever  Amen.,2022-08-28,04,O,da
233,Thank you for being a wonderful predident.,2022-08-28,02,P,en
234,Great sense of humour too!!!,2022-08-27,20,P,en
235,"Now this was a true president who ruled with dignity and not a slobbering, idiotic buffoon. Pity he couldn&#39;t stand a third term.",2022-08-27,20,N,en
236,I love my president so very proud of you and your beautiful wife and your fantastic two daughters forever my president👍🏿❤️👋🏿🦾 I am 78 years old and I will celebrate you sell the day I die forever my president,2022-08-27,13,P,en
237,"Singing the song of the south , lol",2022-08-27,00,P,en
238,I still want to see pictures of Michael Obama pregnant.,2022-08-27,00,P,en
239,In other words BUCKET 😃,2022-08-26,23,N,en
240,"He may not have been a good president (In my opinion) but he was a really good man, very funny and intelligent. I wish we had more presidents like him, not so polarized and bitter.",2022-08-26,17,P,en
